Road | Cumulative Distance | Cumulative Time
5th St SE | 0.0295254641056 | 0.0708611138535
15th Ave SE | 0.114330482481 | 0.274393157956
15th Ave SE | 0.148988670985 | 0.357572810363
4th St SE | 0.16760761337 | 0.389490997309
4th St SE | 0.27478665618 | 0.57322649927
4th St SE | 0.400269625805 | 0.788340161484
4th St SE | 0.523449442741 | 0.999505561946
4th St SE | 0.80506992861 | 1.48228353772
4th St SE | 0.816689888273 | 1.50220346857
Oak St SE | 0.951445285396 | 1.73321272078
University Ave SE | 0.993370162799 | 1.83383242655
University Ave SE | 1.2296188065 | 2.40082917143
University Ave SE | 1.24101179903 | 2.4281723535
University Ave SE | 1.51050777258 | 3.07496269003
University Ave SE | 1.55835290696 | 3.18979101255
University Ave SE | 1.68306768187 | 3.48910647231
University Ave SE | 1.80682032092 | 3.78611280605
St Marys Ave SE | 1.88254621924 | 3.96785496202
