Road | Cumulative Distance | Cumulative Time
St Marys Ave SE                                                                                                                                                                                          | 0.0757258983198 | 0.23686773882
University Ave SE                                                                                                                                                                                        | 0.0866455750923 | 0.263074963074
University Ave SE                                                                                                                                                                                        | 0.134390936209 | 0.377663829755
University Ave SE                                                                                                                                                                                        | 0.248705700858 | 0.652019264913
University Ave SE                                                                                                                                                                                        | 0.307717352914 | 0.793647229845
University Ave SE                                                                                                                                                                                        | 0.367512808503 | 0.937156323259
University Ave SE                                                                                                                                                                                        | 0.476205594813 | 1.1980190104
University Ave SE                                                                                                                                                                                        | 0.491269031727 | 1.234171259
University Ave SE                                                                                                                                                                                        | 0.589089568964 | 1.46894054837
University Ave SE                                                                                                                                                                                        | 0.820538549971 | 2.02441810278
University Ave SE                                                                                                                                                                                        | 0.857345200196 | 2.11275406332
University Ave SE                                                                                                                                                                                        | 0.934053200899 | 2.29685326501
Emerald St SE                                                                                                                                                                                            | 1.11052040877 | 2.72037456391
